,Title,Published_date,Views,Likes,Comments
148,JEE Crash Course 2022 | NEET Crash Course 2022 | Offline centers | PATHSHALA by PhysicsWallah🔥,2021-12-14T16:13:35Z,304420,21825,3438
149,We're Going WORLDWIDE 🔥 Check Description !!!,2021-12-04T16:04:42Z,604836,53594,7910
150,"JEE 2022 Ultimate Crash Course !!! JEE वालों तुम मत घबराना, हम तुम्हारे साथ है 🙏",2021-12-01T16:07:43Z,935872,55998,2851
151,Alakh Sir on Zee News || Awarded by Shri Piyush Goyal (Cabinet Minister) 🙏 Physics Wallah,2021-11-27T14:31:33Z,1885541,178935,10332
152,"SHAURYA - Ab Sirf JEE/NEET Me Nahi, Defence Me Bhi Dhoom Machayenge!!! 💥",2021-11-26T15:31:54Z,477242,46809,3848
153,It's Time for REVOLUTION !!! - RAFTAAR 👊🔥,2021-11-16T15:43:33Z,973876,93715,13513
154,PGF Returns : The Biggest FESTIVAL is Here 💥,2021-11-02T15:13:18Z,507392,34839,2848
155,NEET 2021 RESULTS - पहले ही साल Physics Wallah ने तोड़ दिए सारे RECORDS 🔥,2021-11-02T12:01:51Z,1489855,69996,1884
156,IIT ADVANCED 2021 मे PhysicsWallah का JALWA 💥 1500+ SELECTIONS || 4 in Top 100 🙏,2021-10-15T18:31:08Z,1182239,108738,7820
157,SUPER 30 LAKHS - अब राजा का बेटा राजा नही बनेगा !!! A BIG SURPRISE 🔥 || GIFTS FOR ALL 🎁,2021-10-10T15:50:52Z,987895,89618,4889
158,"The GRAND Launch of PW PATHSHALA - Now in Bihar, UP, Rajasthan, Maharashtra, MP, Delhi & Many More",2021-09-30T12:41:35Z,3323154,163262,16970
159,अब हिन्दी मे करो JEE/NEET की तैयारी 🇮🇳 || Launching Pure HINDI Batches for Droppers @Rs 2500 🙏,2021-09-25T16:06:40Z,537245,28915,3780
160,Start Your NEET 2022 Journey with this MOTIVATIONAL Video 🙏,2021-09-22T16:10:02Z,487857,42386,4079
161,NEET 2022 - ENDGAME || YAKEEN 2.0 - Most Powerful Dropper Batch @Rs 4000 🔥 FREE YAKEEN 1.0 || PGF 🎉🎉,2021-09-16T16:19:49Z,1307117,78492,10496
162,AIR 14 in JEE Main 2021 from Physics Wallah 💪 || Jalne Waalon ki Rooh Bhi Jalani Hai !!!,2021-09-15T17:33:48Z,692111,72918,3558
163,Mai Haar Gaya 😞 FAILURE MOTIVATION !!!,2021-09-13T11:06:34Z,2276946,148908,6243
164,PhysicsWallah Grand Festival - The Biggest Festival 🔥💥,2021-09-09T16:37:18Z,1063912,106304,12915
165,REVOLUTION is Back. Prayas 2.O - Dropper Batch for JEE (Main & Advanced) 2022 With DOUBT ENGINE,2021-09-05T15:23:05Z,552739,37143,3268
166,Teachers Day Special! Revolution Continues. Chalo IIT with Prayas 2.0.,2021-09-03T17:55:25Z,1972514,92652,4504
167,Is RAKSHABANDHAN hum lekar aaye hai aapke liye Special GIFTS 🎁 !! Offer Valid on 22 and 23 August,2021-08-22T14:42:11Z,473511,43400,3197
168,"Abki Baar, Aapke Bhi 95% Paar !!! ACCELERATE - Complete Class 12th Boards Preparation [NEW PATTERN]",2021-08-21T15:44:02Z,457689,31319,2746
